ID,Tanggal Patroli,Jenis Temuan,Tower,PTD,Lantai,DVR,Channel,Temuan,Kategori,PIC,Status,Keterangan Progress,Tanggal Update,Waktu Input
1,2026-08-29,Bangunan,Clifford,2,11,,,Termonitor Tembok Retak Di PTD 2 Lt 11,Tembok Retak,,Baru,,,2026-08-29 07:26:42
2,2026-08-29,Bangunan,Clifford,1,01,,,Termonitor Tembok Terkupas Di Lt 01 PTD 1,Gompal/Terkupas,,Baru,,,2026-08-29 07:26:42
3,2026-08-29,Bangunan,Belmont,2,01,,,Termonitor Tembok Retak Di PTD 2 Lt 01,Tembok Retak,,Baru,,,2026-08-29 07:26:42
4,2026-08-29,Bangunan,Belmont,,27,,,Termonitor Ruang Panel Lt 27 Tidak Terkunci,Panel/Elektrikal,Iqbaal Kensington,Baru,,,2026-08-29 07:26:42
5,2026-08-29,Bangunan,Belmont,,,,,Termonitor Tembok Retak Di Samping Unit BE 01/006,Tembok Retak,Iqbaal Kensington,Baru,,,2026-08-29 07:26:42
6,2026-08-29,Bangunan,Belmont,,,,,Termonitor tembok gompal di depan unit BE 15/003,Gompal/Terkupas,Iqbaal Kensington,Baru,,,2026-08-29 07:26:42
7,2026-08-29,Bangunan,Belmont,,,,,Termonitor dinding retak di depan unit BE 01/006,Tembok Retak,Iqbaal Kensington,Baru,,,2026-08-29 07:26:42
8,2026-08-29,Bangunan,Dallington,,,,,Termonitor tembok berjamur & Retak di depan unit DA 23/011,Tembok Retak,Iqbaal Kensington,Baru,,,2026-08-29 07:26:42
9,2026-08-29,Bangunan,Dallington,,21,,,Termonitor tembok berjamur di area lt 21 koridor 10 & 11 tower dallington,Berjamur,Iqbaal Kensington,Baru,,,2026-08-29 07:26:42
10,2026-08-29,Bangunan,Addington,2,30,,,Termonitor Tembok Retak di Area Lantai 30 PTD 2,Tembok Retak,,Baru,,,2026-08-29 07:26:42
11,2026-08-29,Bangunan,Addington,,,,,Termonitor Tembok Gompal di depan Unit AD 31/006,Gompal/Terkupas,,Baru,,,2026-08-29 07:26:42
12,2026-08-29,Bangunan,Publik Area,,,,,Termonitor pilar marmer berlubang di area lobby AB,Berlubang,,Baru,,,2026-08-29 07:26:42
13,2026-08-29,Bangunan,Publik Area,,,,,Termonitor plafon berlubang di area lobby AB,Berlubang,,Baru,,,2026-08-29 07:26:42
14,2026-08-29,Bangunan,Publik Area,,,,,Termonitor marmer gompal di depan drop off lobby AB,Gompal/Terkupas,,Baru,,,2026-08-29 07:26:42
15,2026-08-29,Bangunan,Publik Area,,,,,Termonitor marmer gompal di depan drop off lobby CD,Gompal/Terkupas,,Baru,,,2026-08-29 07:26:42
16,2026-08-29,Bangunan,Publik Area,,,,,Termonitor castin gompal di depan ruang loker scurity,Gompal/Terkupas,,Baru,,,2026-08-29 07:26:42
17,2026-08-29,Bangunan,Publik Area,,,,,Termonitor castin gompal di area ram naik p.1 tower Dallington,Gompal/Terkupas,,Baru,,,2026-08-29 07:26:42
